"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","Receipt ID","Balance","Tip"
"01/01/2025","02:18:59","EST","PayPal Cashback Mastercard","General Payment","Completed","USD","-246.14","0.00","-246.14","","-246.14",""
"01/01/2025","02:18:59","EST","","Bank Deposit to PP Account ","Pending","USD","246.14","0.00","246.14","","0.00",""
"01/03/2025","18:17:42","EST","Wargaming Group Limited","PreApproved Payment Bill User Payment","Completed","USD","-9.00","0.00","-9.00","","-9.00",""
"01/03/2025","18:17:42","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","9.00","0.00","9.00","","0.00",""
"01/05/2025","02:55:59","EST","My Mini Factory Ltd","Express Checkout Payment","Completed","USD","-19.11","0.00","-19.11","","-19.11",""
"01/05/2025","02:55:59","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","19.11","0.00","19.11","","0.00",""
"01/05/2025","10:24:22","EST","My Mini Factory Ltd","Express Checkout Payment","Completed","USD","-5.30","0.00","-5.30","","-5.30",""
"01/05/2025","10:24:22","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","5.30","0.00","5.30","","0.00",""
"01/06/2025","13:03:07","EST","GitHub, Inc.","PreApproved Payment Bill User Payment","Completed","USD","-10.00","0.00","-10.00","","-10.00",""
"01/06/2025","13:03:07","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","10.00","0.00","10.00","","0.00",""
"01/07/2025","15:04:17","EST","BAMBULAB USA INC","Express Checkout Payment","Completed","USD","-64.46","0.00","-64.46","","-64.46",""
"01/07/2025","15:04:17","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","64.46","0.00","64.46","","0.00",""
"01/07/2025","18:33:34","EST","Qoppa Software, LLC","Website Payment","Completed","USD","-74.50","0.00","-74.50","","-74.50",""
"01/07/2025","18:33:34","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","74.50","0.00","74.50","","0.00",""
"01/08/2025","06:38:04","EST","Floatplane Media Inc.","PreApproved Payment Bill User Payment","Completed","USD","-3.00","0.00","-3.00","","-3.00",""
"01/08/2025","06:38:04","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","3.00","0.00","3.00","","0.00",""
"01/08/2025","18:20:08","EST","Carnivorous Plant Nursery","Express Checkout Payment","Completed","USD","-23.54","0.00","-23.54","","-23.54",""
"01/08/2025","18:20:08","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","23.54","0.00","23.54","","0.00",""
"01/10/2025","13:08:08","EST","PayPal Cashback Mastercard","General Payment","Completed","USD","-293.84","0.00","-293.84","","-293.84",""
"01/10/2025","13:08:08","EST","","Bank Deposit to PP Account ","Pending","USD","293.84","0.00","293.84","","0.00",""
"01/10/2025","17:30:02","EST","Discord Inc","PreApproved Payment Bill User Payment","Completed","USD","-10.74","0.00","-10.74","","-10.74",""
"01/10/2025","17:30:02","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","10.74","0.00","10.74","","0.00",""
"01/13/2025","08:51:18","EST","Hero Forge","PreApproved Payment Bill User Payment","Completed","USD","-19.99","0.00","-19.99","","-19.99",""
"01/13/2025","08:51:18","EST","","PayPal Buyer Credit Payment Funding","Completed","USD","19.99","0.00","19.99","","0.00",""
