Date,Description,Amount,Category,Faye,Oliver,Monthly,Annual
2025-01-03,aluminum rods,8.79,Merchandise,1,0,0,0
2025-01-06,"catnip seeds, laminator, cutting mat",48.22,Merchandise,1,0,0,0
2025-01-04,laminator pouches,12.62,Merchandise,1,0,0,0
2025-01-04,helping hands,19.34,Merchandise,1,0,0,0
2025-01-04,desolder wick,8.59,Merchandise,1,0,0,0
2025-01-05,scissors,10.74,Merchandise,1,0,0,0
2025-01-08,velvet flock,19.23,Merchandise,1,0,0,0
2025-01-09,pencil and lead,18.16,Merchandise,1,0,0,0
2025-01-10,mattress topper,62.89,Merchandise,1,0,0,0
2025-01-12,yarn winder,13.85,Gifts,1,0,0,0
2025-01-15,forearm crutches,49.93,Medical,1,0,0,0
2025-01-15,coconut oil for nose,5.89,Medical,1,0,0,0
2025-01-20,screws,33.29,Merchandise,1,0,0,0
2025-01-20,dryver vent kit,21.45,Merchandise,1,1,0,0
2025-01-21,water bottle,42.99,Merchandise,1,0,0,0
2025-01-22,spatula,10.2,Merchandise,1,0,0,0
2025-01-24,IPA,36.25,Merchandise,1,0,0,0
2025-01-24,Anycubic Mono 4 and Wash and Cure,283.78,Merchandise,1,0,0,0
2025-01-24,resin,16.33,Merchandise,1,0,0,0
