Date,Description,Amount,Category,Faye,Oliver,Monthly,Annual
2025-01-01,spectrum,49.99,Utilities,1,1,1,0
2025-01-02,apollos,17.41,Food,1,0,0,0
2025-01-03,fix car,946,Transportation,1,0,0,0
2025-01-05,saline,11.28,Medical,1,1,0,0
2025-01-08,gas,35.9,Gas,1,1,0,0
2025-01-09,park to shop,44.71,Groceries,1,1,0,0
2025-01-09,wok,40,Merchandise,1,0,0,0
2025-01-12,paints,27.05,Merchandise,1,0,0,0
2025-01-12,tasa y arancel de tra,77.53,Other,0,1,0,0
2025-01-17,zappies,332.18,Zappies,1,0,0,0
2025-01-17,gas,44.99,Gas,1,1,0,0
2025-01-18,costco,234.43,Groceries,1,1,0,0
2025-01-18,gas,32.52,Gas,1,1,0,0
2025-01-18,park to shop,46.91,Groceries,1,1,0,0
2025-01-18,barnes and noble tamsyn muir,17.98,Books,1,0,0,0
2025-01-22,chegg,17.15,Education,1,0,1,0
2025-01-28,city bbq,27.71,Food,1,1,0,0
2025-01-28,graeters,14.88,Food,1,1,0,0
2025-01-29,zappies,166.09,Zappies,1,0,0,0
